Participant,Practice,Block,Trial,Property,Ratio,Size1,Answer,CompletionTime,size1Output,TaskCompletionTime
0,false,2,2,Length,0.63,1,74,8.768738,1,8768.75
0,false,2,3,Length,0.58,1,58,4.244141,0.96,4244.125
0,false,2,4,Length,0.53,1,35,6.400452,1.03,6400.438
0,false,2,5,Length,0.83,0.6,28,6.914307,0.618,6914.313
0,false,2,6,Length,0.73,0.6,39,5.20459,0.582,5204.625
0,false,2,7,Length,0.68,0.6,61,159.4049,0.612,159404.9
0,false,2,8,Length,0.23,1,53,2.847839,0.95,2847.875
0,false,2,9,Length,0.13,1,53,1.526367,1,1526.375
0,false,2,10,Length,0.43,0.6,52,1.020813,0.618,1020.813
0,false,2,11,Length,0.28,0.6,52,0.9378662,0.6,937.8125
0,false,2,12,Length,0.08,0.6,51,0.833313,0.612,833.3125
0,false,2,13,Length,0.43,1,52,0.8984375,0.95,898.4375
0,false,2,14,Length,0.73,1,52,0.8483276,1.02,848.375
0,false,2,15,Length,0.53,0.6,51,0.7877808,0.582,787.75
0,false,2,16,Length,0.18,0.6,51,0.7592163,0.612,759.25
0,false,2,17,Length,0.38,0.6,52,0.8268433,0.618,826.8125
0,false,2,18,Length,0.48,0.6,51,0.9216309,0.618,921.625
0,false,2,19,Length,0.58,0.6,51,0.8609619,0.588,861
0,false,2,20,Length,0.88,0.6,52,0.9262085,0.618,926.1875
0,false,2,21,Length,0.78,0.6,52,0.9382324,0.57,938.25
0,false,2,22,Length,0.68,1,51,0.9163208,0.97,916.3125
0,false,2,23,Length,0.13,0.6,52,1.094238,0.618,1094.25
0,false,2,24,Length,0.28,1,52,6.814148,1.04,6814.125
0,false,2,25,Length,0.83,1,55,3.640869,1.03,3640.875
0,false,2,26,Length,0.33,0.6,72,16.27423,0.624,16274.25
0,false,2,27,Length,0.93,1,52,2.100281,1,2100.25
0,false,2,28,Length,0.78,1,53,1.585754,0.96,1585.75
0,false,2,29,Length,0.38,1,53,1.430298,0.96,1430.313
0,false,2,30,Length,0.08,1,54,2.222046,0.98,2222.063
0,false,2,31,Length,0.33,1,53,6.512085,0.9899999,6512.063
0,false,2,32,Length,0.23,0.6,52,0.9779663,0.6,977.9375
0,false,2,33,Length,0.93,0.6,51,0.949585,0.582,949.625
0,false,2,34,Length,0.63,0.6,52,0.8873901,0.612,887.375
0,false,2,35,Length,0.18,1,52,0.9157715,0.97,915.75
0,false,3,0,Area,0.13,1,51,0.8825073,1.01,882.5625
0,false,3,1,Area,0.63,0.6,52,6.903198,0.606,6903.188
0,false,3,2,Area,0.58,1,53,4.932068,1.03,4932.063
0,false,3,3,Area,0.33,0.6,55,2.597168,0.606,2597.188
0,false,3,4,Area,0.33,1,53,33.40869,1,33408.69
0,false,3,5,Area,0.73,0.6,55,5.825195,0.6,5825.188
0,false,3,6,Area,0.23,1,54,2.066406,0.97,2066.375
0,false,3,7,Area,0.23,0.6,56,4.36731,0.612,4367.375
0,false,3,8,Area,0.53,0.6,54,2.731445,0.6,2731.375
0,false,3,9,Area,0.28,0.6,55,2.27771,0.588,2277.75
0,false,3,10,Area,0.58,0.6,54,4.746948,0.594,4746.875
0,false,3,11,Area,0.08,0.6,56,2.82666,0.576,2826.75
0,false,3,12,Area,0.53,1,54,5.204346,1.04,5204.25
0,false,3,13,Area,0.08,1,55,3.915771,1.01,3915.875
0,false,3,14,Area,0.28,1,54,1.920776,1.04,1920.75
0,false,3,15,Area,0.68,0.6,63,4.529053,0.618,4529
0,false,3,16,Area,0.78,0.6,52,1.262329,0.582,1262.375
0,false,1,0,BarChart,0.73,0.6,47,7.39712,0.582,7397.119
0,false,1,1,BarChart,0.08,0.6,47,2.144896,0.594,2144.896
0,false,1,2,BarChart,0.28,0.6,48,2.781015,0.612,2781.016
0,false,1,3,BarChart,0.58,0.6,48,1.965813,0.57,1965.813
0,false,1,4,BarChart,0.43,1,48,1.686548,1.01,1686.547
0,false,1,5,BarChart,0.33,1,47,1.664492,1.03,1664.492
0,false,1,6,BarChart,0.73,1,47,1.686831,0.97,1686.83
0,false,1,7,BarChart,0.33,0.6,48,1.742725,0.576,1742.727
