Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
2,false,2,4,0.58,2,vertical,60,5.942856,171.8629,5953.063
2,false,2,5,0.88,2,vertical,85,6.309067,171.8537,6310.672
2,false,2,6,0.18,0,vertical,20,8.993225,101.4638,9684.156
2,false,2,7,0.18,2,vertical,15,8.00592,172.1456,8768.25
2,false,2,8,0.38,2,vertical,30,8.774323,171.9484,8779.5
2,false,2,9,0.78,1,vertical,75,6.039276,166.1503,6042.75
2,false,2,10,0.68,2,vertical,60,5.010101,171.9125,5015.25
2,false,2,11,0.78,0,vertical,80,9.922119,104.2996,10712.03
2,false,2,12,0.48,0,vertical,50,4.132416,99.69659,4132.531
2,false,2,13,0.18,1,vertical,20,8.657715,165.9113,9025.281
2,false,2,14,0.68,1,vertical,70,7.084595,165.8884,7093.563
2,false,2,15,0.48,1,vertical,50,4.831757,165.8694,4836.031
2,false,2,16,0.38,0,vertical,40,4.380066,101.6226,5003.875
2,false,2,17,0.48,2,vertical,50,3.489807,171.8575,3920.844
2,false,2,18,0.38,1,vertical,40,4.669922,165.9094,4680.125
2,false,2,19,0.58,0,vertical,60,6.106079,100.9817,6936.156
2,false,2,20,0.78,2,vertical,80,6.24115,171.6282,6690.625
2,false,2,21,0.88,0,vertical,85,10.13052,100.1383,10644.94
2,false,2,22,0.58,1,vertical,50,2.132477,165.8325,2479.719
2,false,2,23,0.68,0,vertical,65,9.519196,104.3165,10164.53
3,false,1,0,0.18,2,vertical,15,17.67498,171.1505,17681.5
3,false,1,1,0.58,1,vertical,55,11.90435,164.8499,11907.14
3,false,1,2,0.68,2,vertical,75,9.956818,171.1618,9963.582
3,false,1,3,0.38,0,vertical,41,11.81171,87.54503,12599.33
3,false,1,4,0.88,1,vertical,90,9.394424,164.7186,9404.938
3,false,1,5,0.88,0,vertical,92,9.660446,89.30919,10377.14
3,false,1,6,0.48,2,vertical,47,8.439499,171.1266,8790.156
3,false,1,7,0.38,2,vertical,42,6.172592,171.1731,6177.539
3,false,1,8,0.68,0,vertical,72,12.38466,89.42627,12989.84
3,false,1,9,0.68,1,vertical,71,13.40214,164.4244,13884.16
3,false,1,10,0.78,1,vertical,77,18.01918,164.5104,18028.14
3,false,1,11,0.88,2,vertical,82,10.01604,170.9999,10019.08
3,false,1,12,0.58,2,vertical,55,6.13797,171.1403,6144.172
3,false,1,13,0.58,0,vertical,54,9.993866,86.49462,10689.22
3,false,1,14,0.78,0,vertical,77,10.77266,89.17051,10778.8
3,false,1,15,0.18,1,vertical,20,16.74072,164.4294,17245.84
3,false,1,16,0.48,0,vertical,47,6.712997,94.08135,7427.828
3,false,1,17,0.28,1,vertical,25,11.42033,164.1774,11896.22
3,false,1,18,0.78,2,vertical,76,11.7598,170.8802,11761.69
3,false,1,19,0.48,1,vertical,49,11.431,164.3164,11437.88
3,false,1,20,0.18,0,vertical,19,12.23152,94.44669,12844.97
3,false,1,21,0.38,1,vertical,32,18.40817,164.5366,18776.66
3,false,1,22,0.28,0,vertical,25,10.71234,90.28603,11370.84
3,false,1,23,0.28,2,vertical,25,9.575256,170.9169,9896.219
3,false,2,0,0.48,2,horizontal,33,12.95654,170.7392,12957.25
3,false,2,1,0.78,0,horizontal,77,12.31357,78.34988,13057.03
3,false,2,2,0.18,1,horizontal,10,12.53723,163.4375,12957
3,false,2,3,0.48,0,horizontal,48,7.010773,79.62944,7662.406
3,false,2,4,0.48,1,horizontal,53,12.07703,163.2191,12588.47
3,false,2,5,0.68,0,horizontal,72,11.77646,78.62046,12443.88
3,false,2,6,0.58,0,horizontal,56,12.92157,85.91615,12922.91
3,false,2,7,0.18,2,horizontal,17,20.53198,170.9281,21043.75
3,false,2,8,0.78,2,horizontal,85,16.03885,170.8096,16040.19
3,false,2,9,0.38,1,horizontal,45,5.355743,164.0736,5361.375
3,false,2,10,0.68,1,horizontal,69,19.93808,164.0636,19948.97
3,false,2,11,0.78,1,horizontal,76,10.19226,164.0635,10198.63
3,false,2,12,0.58,1,horizontal,55,9.474884,164.047,9482.656
3,false,2,13,0.38,2,horizontal,25,7.739136,170.8569,7742
3,false,2,14,0.28,0,horizontal,25,10.56366,80.6857,11280.09
3,false,2,15,0.58,2,horizontal,53,6.467651,170.6319,7037.344
3,false,2,16,0.68,2,horizontal,69,11.90784,170.6189,11918
3,false,2,17,0.38,0,horizontal,35,13.23688,80.34434,13973.44
3,false,2,18,0.18,0,horizontal,21,8.012207,79.67382,8019.75
3,false,2,19,0.88,2,horizontal,91,11.28619,170.8004,11974
3,false,2,20,0.28,2,horizontal,21,9.826721,170.7512,9829.438
3,false,2,21,0.88,0,horizontal,86,15.80219,80.10863,16464.31
3,false,2,22,0.28,1,horizontal,25,8.338379,163.1685,8991.75
3,false,2,23,0.88,1,horizontal,82,6.841064,163.2202,6847.125
4,false,1,0,0.68,0,horizontal,71,9.342005,77.54196,10253.76
4,false,1,1,0.58,0,horizontal,59,16.91975,81.79279,16922.18
4,false,1,2,0.18,1,horizontal,9,12.5224,165.0664,13169.33
4,false,1,3,0.58,1,horizontal,47,8.299477,164.9556,8310.402
4,false,1,4,0.18,2,horizontal,8,15.14583,171.4879,15146.36
4,false,1,5,0.18,0,horizontal,12,12.63742,78.90608,13213.81
4,false,1,6,0.28,0,horizontal,24,14.37971,80.79661,14386.73
4,false,1,7,0.78,1,horizontal,75,6.662178,165.1407,7238.023
4,false,1,8,0.68,2,horizontal,85,9.54567,171.5584,9550.156
4,false,1,9,0.78,0,horizontal,79,8.179962,82.79137,8656.516
4,false,1,10,0.38,2,horizontal,25,17.1618,171.5482,17659.61
4,false,1,11,0.68,1,horizontal,69,13.55536,165.1199,13560.23
4,false,1,12,0.88,2,horizontal,94,9.292877,171.5836,9293.063
4,false,1,13,0.28,1,horizontal,12,11.81061,165.1933,11817.73
4,false,1,14,0.48,1,horizontal,38,9.862411,165.3889,9862.922
4,false,1,15,0.38,0,horizontal,40,10.82178,81.77551,11381.59
4,false,1,16,0.88,1,horizontal,91,8.727112,164.7402,9371.984
4,false,1,17,0.58,2,horizontal,54,6.918854,171.5999,6925.094
4,false,1,18,0.78,2,horizontal,86,15.40002,171.6167,15403.39
4,false,1,19,0.48,0,horizontal,46,8.570068,80.88871,9114.484
4,false,1,20,0.38,1,horizontal,29,19.95496,165.0009,20396
4,false,1,21,0.28,2,horizontal,14,10.90112,171.66,10901.72
4,false,1,22,0.48,2,horizontal,32,10.41141,171.6764,10421.41
4,false,1,23,0.88,0,horizontal,89,11.88867,84.2136,12543.91
4,false,2,0,0.18,2,vertical,19,11.47205,171.911,12164.13
4,false,2,1,0.38,0,vertical,35,10.46326,96.13595,11035.66
4,false,2,2,0.88,0,vertical,88,10.85333,94.5671,10856.75
4,false,2,3,0.48,0,vertical,43,6.051605,94.33271,6053.813
4,false,2,4,0.78,0,vertical,72,11.41165,94.28157,11415.59
4,false,2,5,0.68,0,vertical,58,9.338715,94.78214,9349.313
4,false,2,6,0.58,0,vertical,53,4.83078,94.0849,4836.531
4,false,2,7,0.58,2,vertical,54,10.90292,171.5495,11516.56
4,false,2,8,0.78,1,vertical,71,9.027924,165.6235,9036.094
4,false,2,9,0.48,2,vertical,42,4.618744,171.7143,4624.188
4,false,2,10,0.28,0,vertical,25,14.97925,94.60311,15760.5
4,false,2,11,0.48,1,vertical,45,6.215576,166.219,6825.219
4,false,2,12,0.28,2,vertical,29,10.03439,172.2753,10041
4,false,2,13,0.28,1,vertical,28,11.20474,166.8165,11214.81
4,false,2,14,0.18,0,vertical,18,14.1254,99.24162,14542.91
4,false,2,15,0.88,2,vertical,88,16.00137,171.9018,16575.94
4,false,2,16,0.68,2,vertical,61,8.423889,172.3455,8433.625
4,false,2,17,0.38,1,vertical,43,6.524597,166.7166,6534.063
4,false,2,18,0.58,1,vertical,56,8.390808,167.2443,8399.531
4,false,2,19,0.68,1,vertical,62,7.251465,167.5652,7260.688
4,false,2,20,0.18,1,vertical,22,6.965759,167.5376,6969.844
4,false,2,21,0.38,2,vertical,40,10.9588,172.6288,10959.75
4,false,2,22,0.78,2,vertical,66,7.093872,172.7988,7101.625
4,false,2,23,0.88,1,vertical,89,8.974792,167.5381,8981
5,false,1,0,0.48,0,vertical,45,5.328546,89.79405,5338.918
5,false,1,1,0.88,2,vertical,89,15.73729,171.4823,16497.63
5,false,1,2,0.38,2,vertical,26,5.890636,171.629,5897.797
5,false,1,3,0.88,0,vertical,90,14.91726,96.68935,15615.51
5,false,1,4,0.18,1,vertical,15,7.112095,164.7005,7483.723
5,false,1,5,0.18,2,vertical,18,11.70712,171.3288,11717.24
5,false,1,6,0.18,0,vertical,18,19.10892,100.5083,19335.13
5,false,1,7,0.68,1,vertical,72,31.19742,165.2477,31666.28
5,false,1,8,0.48,1,vertical,44,24.61569,165.5592,24618.27
5,false,1,9,0.28,2,vertical,29,20.74686,171.5505,20753.39
5,false,1,10,0.78,0,vertical,79,12.403,99.93854,12811.7
5,false,1,11,0.68,0,vertical,68,11.66422,99.2057,11672.33
5,false,1,12,0.78,1,vertical,75,9.471695,165.1406,9851.922
5,false,1,13,0.28,0,vertical,29,22.01228,99.47116,22540.59
5,false,1,14,0.48,2,vertical,46,5.81189,171.4026,6232.938
5,false,1,15,0.38,1,vertical,40,6.557556,165.2486,6567.891
5,false,1,16,0.78,2,vertical,69,9.619186,171.5945,9628.297
5,false,1,17,0.58,1,vertical,58,6.240814,165.6621,6243.844
5,false,1,18,0.58,0,vertical,56,8.956818,100.7679,9393.797
5,false,1,19,0.38,0,vertical,42,11.74078,100.8311,11750.63
5,false,1,20,0.28,1,vertical,29,13.18976,166.1496,13560.09
5,false,1,21,0.58,2,vertical,56,4.636261,171.9122,4646.5
5,false,1,22,0.68,2,vertical,62,6.001465,171.9115,6009.656
5,false,1,23,0.88,1,vertical,87,10.38907,166.2016,10398.69
5,false,2,0,0.28,0,horizontal,25,8.187714,89.63079,8198.438
5,false,2,1,0.38,2,horizontal,37,10.21136,170.1524,10779.19
5,false,2,2,0.38,1,horizontal,42,6.366974,162.8351,6377.813
5,false,2,3,0.58,2,horizontal,55,6.825256,169.912,6836.063
5,false,2,4,0.38,0,horizontal,41,13.87958,90.04575,14565.47
5,false,2,5,0.88,1,horizontal,91,9.197693,162.7625,9818.125
5,false,2,6,0.48,1,horizontal,40,5.504517,162.8864,5506.781
5,false,2,7,0.68,2,horizontal,61,5.679138,170.1868,5685.75
5,false,2,8,0.88,0,horizontal,85,14.73721,88.73703,15369.19
5,false,2,9,0.48,2,horizontal,39,11.51172,170.1964,11952.28
5,false,2,10,0.68,1,horizontal,68,8.221344,162.8798,8231.844
5,false,2,11,0.58,1,horizontal,60,5.226563,162.8825,5227.438
5,false,2,12,0.18,2,horizontal,10,12.46982,170.1948,12476.59
5,false,2,13,0.88,2,horizontal,82,9.296417,170.2209,9304.375
5,false,2,14,0.28,1,horizontal,29,15.80182,162.849,15805.41
5,false,2,15,0.58,0,horizontal,60,6.238068,90.089,6880.688
5,false,2,16,0.28,2,horizontal,20,16.21432,170.258,16709.59
5,false,2,17,0.78,1,horizontal,86,11.0174,163.0083,11025.31
5,false,2,18,0.68,0,horizontal,73,8.755066,89.64536,9404.313
5,false,2,19,0.48,0,horizontal,46,5.919739,89.96701,5920.188
5,false,2,20,0.78,2,horizontal,73,14.37469,170.2497,14766.13
5,false,2,21,0.18,0,horizontal,19,13.57153,92.08922,14185.75
5,false,2,22,0.78,0,horizontal,80,10.40417,89.85975,10410.38
5,false,2,23,0.18,1,horizontal,12,12.2041,163.2014,12677.69
6,false,1,0,0.78,1,horizontal,85,14.31393,163.2298,14319.77
6,false,1,1,0.28,0,horizontal,21,20.86824,79.17139,22943.2
6,false,1,2,0.68,0,horizontal,71,16.71802,80.0777,16727.55
6,false,1,3,0.48,2,horizontal,32,37.23852,170.6228,38909.4
6,false,1,4,0.78,0,horizontal,77,38.46721,78.18078,39284.23
6,false,1,5,0.68,1,horizontal,60,11.63104,163.7808,12708.28
6,false,1,6,0.88,2,horizontal,91,26.42902,170.6199,26431.31
6,false,1,7,0.18,0,horizontal,15,25.39706,80.90291,26234.7
6,false,1,8,0.38,2,horizontal,15,13.45256,170.2354,14133.3
6,false,1,9,0.58,0,horizontal,59,21.368,82.25328,22015.42
6,false,1,10,0.68,2,horizontal,65,19.4509,170.1079,19982.92
6,false,1,11,0.48,1,horizontal,45,11.86911,162.6168,11873.78
6,false,1,12,0.58,2,horizontal,50,9.865631,169.938,9874.281
6,false,1,13,0.28,1,horizontal,20,11.42563,162.4839,11426.66
6,false,1,14,0.88,0,horizontal,90,17.26511,80.98847,18106.16
6,false,1,15,0.48,0,horizontal,45,17.28946,82.70613,17291
6,false,1,16,0.28,2,horizontal,15,18.15543,170.0595,18854.88
6,false,1,17,0.58,1,horizontal,60,10.52185,162.5829,10521.97
6,false,1,18,0.38,1,horizontal,40,11.40433,162.5636,11404.69
6,false,1,19,0.78,2,horizontal,73,9.699829,169.9832,9706.594
6,false,1,20,0.38,0,horizontal,40,8.593384,85.6901,9404.719
6,false,1,21,0.18,1,horizontal,10,15.5903,162.2673,16241.34
6,false,1,22,0.18,2,horizontal,8,13.36063,169.8574,13370.31
6,false,1,23,0.88,1,horizontal,89,11.69977,162.1171,11705.81
6,false,2,0,0.28,1,vertical,28,15.45703,163.2367,15459
6,false,2,1,0.78,2,vertical,80,13.40536,170.2407,13415
6,false,2,2,0.88,2,vertical,90,10.3486,170.2462,10354.38
6,false,2,3,0.68,0,vertical,60,10.57727,91.61074,11728.69
6,false,2,4,0.38,0,vertical,40,16.67609,91.92223,16676.56
6,false,2,5,0.38,1,vertical,40,11.5473,163.212,12082.31
6,false,2,6,0.18,2,vertical,15,17.55096,170.2735,17559.25
6,false,2,7,0.68,2,vertical,70,15.13037,170.2523,15134.94
6,false,2,8,0.58,1,vertical,55,17.15216,163.0577,17155.13
6,false,2,9,0.78,1,vertical,70,9.346863,162.8784,9350.313
6,false,2,10,0.58,2,vertical,55,9.642029,170.0124,9650.688
6,false,2,11,0.18,1,vertical,20,17.78412,162.8846,17786.56
6,false,2,12,0.78,0,vertical,70,20.36243,93.17959,21278.25
6,false,2,13,0.28,0,vertical,20,12.18219,91.94173,12186.44
6,false,2,14,0.48,2,vertical,40,13.80249,170.1096,14387
6,false,2,15,0.58,0,vertical,50,6.294495,96.02287,6869.75
6,false,2,16,0.28,2,vertical,30,18.67273,170.1144,19167.19
6,false,2,17,0.88,0,vertical,90,10.38556,93.10869,10912.75
6,false,2,18,0.18,0,vertical,20,10.46307,92.77628,10466.44
6,false,2,19,0.48,0,vertical,45,11.56854,93.02255,11572.13
6,false,2,20,0.48,1,vertical,50,13.18469,162.3981,13682.81
6,false,2,21,0.68,1,vertical,70,14.56104,162.3987,14565.25
6,false,2,22,0.38,2,vertical,40,6.696533,169.7608,6702.125
6,false,2,23,0.88,1,vertical,90,9.111206,162.4438,9114.688
7,false,1,0,0.28,0,vertical,28,8.85009,95.68801,8857.543
7,false,1,1,0.38,0,vertical,35,7.780033,95.52366,7785.498
7,false,1,2,0.28,1,vertical,26,15.3203,166.1853,16140.27
7,false,1,3,0.78,1,vertical,79,6.767445,166.2783,6769.363
7,false,1,4,0.88,0,vertical,91,6.79401,96.92006,7248.785
7,false,1,5,0.18,2,vertical,14,9.36792,171.6597,9829.461
7,false,1,6,0.58,0,vertical,56,8.336235,95.67275,8757.211
7,false,1,7,0.88,1,vertical,90,8.04718,165.811,8433.172
7,false,1,8,0.48,2,vertical,40,7.352623,171.495,7361
7,false,1,9,0.58,2,vertical,54,8.720657,171.5306,8723.586
7,false,1,10,0.38,1,vertical,35,5.21447,165.4798,5216.031
7,false,1,11,0.48,1,vertical,50,6.761322,165.4829,6769.07
7,false,1,12,0.28,2,vertical,27,9.623512,171.6117,9628.867
7,false,1,13,0.88,2,vertical,83,9.641174,171.847,9651
7,false,1,14,0.48,0,vertical,46,7.124512,97.19141,7561.109
7,false,1,15,0.78,0,vertical,77,8.603455,96.79917,8612.281
7,false,1,16,0.78,2,vertical,70,7.746002,171.8592,8153.656
7,false,1,17,0.18,1,vertical,20,8.613754,165.8487,8623.297
7,false,1,18,0.38,2,vertical,43,6.604233,171.7834,6612.703
7,false,1,19,0.68,2,vertical,62,5.43251,171.8164,5439.391
7,false,1,20,0.18,0,vertical,17,16.76083,99.12621,17995
7,false,1,21,0.58,1,vertical,61,3.843048,170.0099,5115.531
7,false,1,22,0.68,1,vertical,65,5.23732,169.5232,5238.734
7,false,1,23,0.68,0,vertical,75,6.30687,96.44065,6958.438
7,false,2,0,0.78,2,horizontal,85,9.876495,173.8817,9885.594
7,false,2,1,0.68,1,horizontal,73,8.699768,169.7988,8701.063
7,false,2,2,0.28,1,horizontal,24,5.316574,169.4016,5316.797
7,false,2,3,0.88,0,horizontal,90,8.900421,67.42731,9617.172
7,false,2,4,0.48,2,horizontal,45,4.795868,173.7996,5484.359
7,false,2,5,0.38,1,horizontal,32,4.9664,168.6387,4970.5
7,false,2,6,0.38,0,horizontal,46,9.106323,70.7504,9651.031
7,false,2,7,0.58,2,horizontal,47,5.983765,173.8725,6266.344
7,false,2,8,0.28,0,horizontal,25,10.67505,73.48779,11046.84
7,false,2,9,0.28,2,horizontal,20,6.824188,173.8649,7204.719
7,false,2,10,0.68,2,horizontal,75,8.222931,173.717,8232.031
7,false,2,11,0.58,1,horizontal,63,5.295563,168.8902,5305.969
7,false,2,12,0.58,0,horizontal,67,4.856689,67.55681,5383.375
7,false,2,13,0.48,1,horizontal,52,4.684082,169.1008,5194.063
7,false,2,14,0.18,1,horizontal,10,7.333832,168.8557,7338.625
7,false,2,15,0.68,0,horizontal,70,5.097107,69.13596,5663.313
7,false,2,16,0.88,1,horizontal,90,6.970245,168.7334,7362
7,false,2,17,0.78,0,horizontal,80,12.8291,60.87072,13458.84
7,false,2,18,0.88,2,horizontal,95,7.984772,173.868,8544.563
7,false,2,19,0.48,0,horizontal,44,8.220459,67.7278,8935.688
7,false,2,20,0.78,1,horizontal,86,7.819244,168.5895,8165.469
7,false,2,21,0.38,2,horizontal,30,5.403137,173.727,5406.094
7,false,2,22,0.18,2,horizontal,10,11.80969,174.1306,11817.66
7,false,2,23,0.18,0,horizontal,15,8.769348,94.15327,9304.125
8,false,1,0,0.38,1,horizontal,24,11.68636,162.984,12074.53
8,false,1,1,0.88,1,horizontal,90,10.31845,163.1506,10320.98
8,false,1,2,0.88,0,horizontal,90,13.52498,81.12917,13906.53
8,false,1,3,0.68,1,horizontal,84,14.68033,162.6282,14788.69
8,false,1,4,0.68,0,horizontal,70,27.81812,87.8904,28204.44
8,false,1,5,0.28,2,horizontal,15,6.677185,170.6352,7092.406
8,false,1,6,0.28,1,horizontal,20,7.248383,163.591,7249
8,false,1,7,0.18,2,horizontal,10,8.180206,169.7188,8187.375
8,false,1,8,0.58,2,horizontal,50,6.906097,170.0883,6914.781
8,false,1,9,0.18,0,horizontal,17,7.190582,91.39679,7628.906
8,false,1,10,0.38,0,horizontal,35,9.335815,89.4079,9345.219
8,false,1,11,0.58,0,horizontal,55,6.715515,87.75753,6724.156
8,false,1,12,0.88,2,horizontal,90,7.919556,170.0493,8415.156
8,false,1,13,0.68,2,horizontal,85,9.647888,170.2555,9650.563
8,false,1,14,0.38,2,horizontal,20,7.543488,171.1506,7551.156
8,false,1,15,0.28,0,horizontal,25,6.870544,61.59001,7327.063
8,false,1,16,0.78,2,horizontal,84,9.265198,170.4942,9550.219
8,false,1,17,0.78,0,horizontal,75,6.590363,92.81656,6925.156
8,false,1,18,0.18,1,horizontal,8,7.855469,163.3315,8165.094
8,false,1,19,0.78,1,horizontal,90,7.260529,163.5892,7260.625
8,false,1,20,0.48,1,horizontal,35,4.037018,163.8638,4043.156
8,false,1,21,0.58,1,horizontal,55,3.634064,162.8086,3641.469
8,false,1,22,0.48,0,horizontal,45,5.308411,92.21287,5729.938
8,false,1,23,0.48,2,horizontal,38,7.337921,170.5856,7696.156
8,false,2,0,0.88,0,vertical,90,7.343933,96.36909,7349.844
8,false,2,1,0.28,1,vertical,20,7.105225,163.6705,7439.094
8,false,2,2,0.38,1,vertical,28,11.13062,164.1319,11136.5
8,false,2,3,0.18,1,vertical,14,10.78705,164.1812,10789.75
8,false,2,4,0.78,2,vertical,76,5.437958,170.8776,5439.813
8,false,2,5,0.48,1,vertical,45,2.89859,163.8734,2905.094
8,false,2,6,0.58,1,vertical,52,4.428955,163.9359,4430.344
8,false,2,7,0.58,0,vertical,51,7.96463,97.96783,8291.219
8,false,2,8,0.48,2,vertical,47,3.507141,170.1526,3798.063
8,false,2,9,0.68,1,vertical,70,6.965637,163.1894,6969.625
8,false,2,10,0.48,0,vertical,43,10.51147,96.82117,10801.38
8,false,2,11,0.68,2,vertical,68,6.803772,170.2425,7025.625
8,false,2,12,0.28,0,vertical,22,11.30658,96.85147,11602.81
8,false,2,13,0.38,0,vertical,35,5.29248,98.1912,5297.063
8,false,2,14,0.88,1,vertical,90,7.846619,162.8757,8109.688
8,false,2,15,0.18,2,vertical,17,12.73578,171.2404,12744.69
8,false,2,16,0.88,2,vertical,86,7.374634,170.7244,7383.313
8,false,2,17,0.78,0,vertical,85,9.024292,94.87048,9438.5
8,false,2,18,0.58,2,vertical,50,4.817688,170.705,5104.563
8,false,2,19,0.38,2,vertical,38,5.710938,171.1126,5715.438
8,false,2,20,0.28,2,vertical,26,6.638245,170.9953,6638.438
8,false,2,21,0.78,1,vertical,80,7.510864,164.0109,7517.063
8,false,2,22,0.68,0,vertical,75,7.027588,95.39513,7394.5
8,false,2,23,0.18,0,vertical,20,10.37103,94.95192,10376.75
9,false,1,0,0.68,1,vertical,75,6.759804,164.0361,6769.195
9,false,1,1,0.48,2,vertical,50,2.842117,170.4173,2848.984
9,false,1,2,0.78,1,vertical,75,10.93208,163.713,10934.42
9,false,1,3,0.88,1,vertical,85,8.800797,163.7935,8802.031
9,false,1,4,0.58,0,vertical,50,10.07886,97.67107,10644.73
9,false,1,5,0.38,1,vertical,40,8.469986,165.5352,8868.906
9,false,1,6,0.88,2,vertical,85,7.632172,171.487,7639.969
9,false,1,7,0.28,0,vertical,25,8.657913,96.54179,9103.516
9,false,1,8,0.58,2,vertical,50,3.131821,170.7544,3540.578
